MILESTONE EMAIL MATRIX — OUTSOURCED,,,,,,,,,,,,,,,,,,,,,
Service type: outsourced (Sales Progressor internal team manages the file),,,,,,,,,,,,,,,,,,,,,
Email body column = opening sentence + what happened + what next — combined from portal-copy.ts,,,,,,,,,,,,,,,,,,,,,
{address} in subjects is replaced with the property address at send time,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SECTION 1 — SELLER confirms via the client portal (seller-facing steps only),,,,,,,,,,,,,,,,,,,,,
"These are milestones the seller actions themselves (e.g. ID checks complete, forms returned). They tap ""confirm"" in their portal.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Code,Milestone name,Who performs this step,Seller gets email?,Seller: email subject,Seller: email body,Buyer gets email?,Buyer: email subject,Buyer: email body,Agent gets email?,Agent: email subject,Agent: email body,Progressor gets email?,Progressor: email subject,Progressor: email body,Notes / Known issues,,,,,,
VM11,Provide replies to enquiries,you,Y,Action needed: your solicitor needs your help — {address},"Your solicitor needs answers from you. Some of the buyer's enquiries require information that only you can provide. Your solicitor has been in touch to ask for your help in preparing the replies. Please respond to your solicitor as quickly as you can — ideally within 24–48 hours. Delays at this stage are one of the most common reasons transactions stall. The faster you reply, the sooner the enquiries can be resolved.",Y,Seller has answered your solicitor's questions — {address},"Progress on your purchase. The seller has provided their solicitor with the information needed to reply to your solicitor's enquiries. The seller's solicitor will now formally send the replies across. Nothing for you to do right now — your solicitor will let you know once the replies are in their hands.",N,,(Agent not notified in client-portal-confirm flow),Y,Seller has provided enquiry replies — {address},Quick update on {address}. The seller has provided their solicitor with replies to enquiries — confirmed via the seller's portal. Chase the seller's solicitor on sending replies across.,,,,,,,
VM12,Replies sent to buyer's solicitor,solicitor,Y,Enquiry replies sent to the buyer's solicitor — {address},"Your solicitor has replied to the enquiries. Your solicitor has sent their replies to the buyer's solicitor's initial enquiries. The buyer's solicitor will now review these and may come back with further questions — this is completely normal. There's nothing for you to do right now. If another round of questions arrives, we'll let you know.",Y,The seller has replied to your solicitor's enquiries — {address},"Progress on the enquiries. The seller's solicitor has sent replies to your solicitor's initial enquiries. Your solicitor will now review the answers and decide whether any further questions are needed. Your solicitor will let you know if anything in the replies needs your attention. Otherwise, they'll continue working through the remaining points before you move towards exchange.",Y,Enquiry replies sent — {address},Quick update on {address}. Vendor's solicitor has replied to buyer's initial enquiries.,Y,VM12 complete: Initial replies sent to buyer's solicitor — {address},Logged on {address}. Vendor solicitor has sent initial enquiry replies to buyer's solicitor.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
VM13,Additional enquiries received,solicitor,Y,Additional enquiries from the buyer — {address},"Another round of questions — this is completely normal. Two rounds of enquiries is completely normal — most transactions go through at least two before all questions are resolved. Your solicitor will work through these and may need your input on some points. If they need your input on any points, they'll be in touch — please respond as promptly as you can.",Y,Your further questions are with the seller's side — {address},"Quick update on your purchase. The further enquiries your solicitor raised have been received by the seller's solicitor. They'll now work through the additional points with the seller. Nothing for you to do right now.",N,,,Y,VM13 complete: Additional enquiries received — {address},Logged on {address}. Buyer's solicitor has raised additional enquiries.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
VM14,Provide additional replies,you,Y,Action needed: further replies required from you — {address},"Your solicitor needs your help again. The buyer has raised another round of questions, and some of them require your input to answer. Your solicitor has been in touch to ask for your help. Please come back to your solicitor as quickly as you can. Every day of delay at this stage extends the time to exchange.",Y,Seller has answered the further questions — {address},"Progress on your purchase. The seller has provided their solicitor with answers to the additional enquiries your solicitor raised. The seller's solicitor will now send these replies across. Nothing for you to do right now.",N,,(Agent not notified in client-portal-confirm flow),Y,Seller has provided additional replies — {address},Quick update on {address}. The seller has provided their solicitor with replies to additional enquiries — confirmed via the seller's portal. Chase the seller's solicitor on sending replies across.,,,,,,,
VM15,Additional replies sent,solicitor,Y,All enquiry replies sent — moving towards exchange — {address},"The enquiries are behind you. Your solicitor has sent replies to all outstanding enquiries from the buyer's solicitor. Both sides are now working towards exchange of contracts. The next steps are your solicitor sending you the contract to sign and confirming they're ready to exchange. We'll be in touch when there's an update.",Y,The seller has replied to all enquiries — {address},"The enquiry stage is winding up. The seller's solicitor has replied to all of your solicitor's enquiries. Your solicitor will now review the additional replies and work through any remaining outstanding points. Once your solicitor is satisfied with all the replies, they'll prepare their final report to you and confirm they're ready to move towards exchange.",Y,All enquiry replies sent — {address},Quick update on {address}. Vendor's solicitor has sent replies to all buyer enquiries. Moving towards exchange.,Y,VM15 complete: Additional replies sent to buyer's solicitor — {address},Logged on {address}. Vendor solicitor has sent additional enquiry replies to buyer's solicitor.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
VM16,Contract documents issued to seller,solicitor,Y,Your contract is ready to sign — {address},"Your contract documents have arrived. Your solicitor has sent you the contract documents to review and sign. This is an important step — you're on the way to exchange of contracts. Read the contract carefully. Check the purchase price, the proposed completion date, and the list of fixtures and fittings included in the sale. Your solicitor will explain exactly what signing means and what you're committing to — exchange is the legally binding moment. Once you're happy, sign and return it.",Y,Seller has received their contract — {address},"Good news on your purchase. The seller has received their final contract documents from their solicitor for signing. Once they sign and return them, both sides will have signed contracts ready for exchange. Nothing for you to do right now — we'll let you know once the seller has signed.",N,,(Agent not notified in client-portal-confirm flow),Y,Seller has received contract for signing — {address},Quick update on {address}. The seller has received their contract documents from their solicitor — confirmed via the seller's portal. Chase the seller for signed return.,,,,,,,
VM17,Sign and return contract documents,you,Y,Signed contract received — ready for exchange — {address},"Your signed contract is with your solicitor. Your solicitor has received your signed contract documents and is holding them ready for exchange. They will have explained the commitment this represents — the legally binding moment is exchange, not signing. Your solicitor will confirm when they're ready to exchange. Once both sides are ready, your agent will coordinate the exchange and a completion date will be agreed.",Y,Seller has signed the contract — {address},"A significant step on your purchase. The seller has signed and returned their contract documents to their solicitor. Both sides need signed contracts in their solicitors' hands before exchange can happen. Once your contract is also signed and returned, exchange can be coordinated.",N,,(Agent not notified in client-portal-confirm flow),Y,Seller has signed contracts — {address},Quick update on {address}. The seller has signed and returned their contract documents — confirmed via the seller's portal. Seller side is contract-ready.,,,,,,,
VM18,Solicitor confirms ready to exchange,solicitor,Y,Your solicitor is ready to exchange — {address},"Your solicitor has confirmed they're ready. Your solicitor has everything in place to exchange contracts. They've confirmed to us that they're ready to proceed as soon as the buyer's side is ready too. We're now coordinating with the buyer's solicitor to confirm exchange. Once both sides are ready, exchange will be arranged — this can happen very quickly. Make sure you're reachable.",Y,The seller's solicitor is ready to exchange — {address},"The seller's side is ready. The seller's solicitor has confirmed they're ready to exchange contracts. If your solicitor is also ready, exchange can be coordinated imminently. Make sure your deposit is in your solicitor's client account as cleared funds, and that your signed contract has been returned. We'll be in touch as soon as exchange is confirmed.",Y,Seller's solicitor ready to exchange — {address},Quick update on {address}. Vendor's solicitor has confirmed readiness to exchange. Awaiting buyer's side.,Y,VM18 complete: Vendor solicitor ready to exchange — {address},Logged on {address}. Vendor's solicitor has confirmed readiness to exchange.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
VM19,Contracts exchanged,agent,Y,Contracts exchanged — your sale is legally committed — {address},"Contracts have exchanged on your sale. Both solicitors have formally exchanged signed contracts, and the sale is now legally binding. Neither side can withdraw without significant financial penalty. The completion date is now fixed. Between now and completion, you should arrange to have everything ready to leave the property by the agreed time on completion day. Your solicitor will manage the legal transfer of funds — you'll hear from them on the day.",Y,Contracts exchanged — your purchase is legally committed — {address},"Contracts have exchanged on your purchase. Both solicitors have formally exchanged signed contracts, and your purchase is now legally binding. The completion date is fixed. Now is the time to confirm your removal firm and start planning your move in detail. Buildings insurance: risk in the property usually passes to you on exchange — check with your solicitor whether this applies to your purchase, as for new-builds and many leaseholds the freeholder's policy covers the building. Your solicitor will manage the final transfer of funds on completion day.",Y,Exchange confirmed — {address},"Exchange confirmed on {address}. Contracts have exchanged. Both parties are now legally committed. Completion date is fixed.",Y,VM19 complete: Contracts exchanged — {address},"Exchange confirmed on {address}. Contracts exchanged. Both parties legally committed. Completion date fixed. Reconcile any outstanding milestones and confirm the completion date is recorded.",[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
VM20,Sale completed,agent,Y,Sale complete — congratulations — {address},"Congratulations — it's done. Your sale has completed. The purchase funds have been transferred, your mortgage has been redeemed by your solicitor, and ownership of the property has transferred to the buyer. The sale is legally concluded. Your solicitor will send you a completion statement showing the final figures. If you're also buying, the net proceeds will be passed to your purchase solicitor. Keep your completion statement safely for your records — you may need it for tax purposes.",Y,Sale completed — {address},"Completion confirmed on your purchase property. The sale of {address} has completed. The property now belongs to your seller and the transaction is legally concluded.",Y,Completion confirmed — {address},"Completion confirmed on {address}. Sale completed. Funds transferred, mortgage redeemed, ownership transferred.",Y,VM20 complete: Sale completed — {address},"Completion confirmed on {address}. Sale completed. Transaction closed. Reconcile any outstanding milestones and confirm all fees are recorded.",[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SECTION 2 — BUYER confirms via the client portal (buyer-facing steps only),,,,,,,,,,,,,,,,,,,,,
"These are milestones the buyer actions themselves (e.g. survey booked, mortgage applied). They tap ""confirm"" in their portal.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Code,Milestone name,Who performs this step,Seller gets email?,Seller: email subject,Seller: email body,Buyer gets email?,Buyer: email subject,Buyer: email body,Agent gets email?,Agent: email subject,Agent: email body,Progressor gets email?,Progressor: email subject,Progressor: email body,Notes / Known issues,,,,,,
PM1,Instruct your solicitor,you,Y,The buyer has instructed their solicitor — {address},"Good news on your sale. The buyer has formally instructed their solicitor to act on the purchase. The legal process is now underway on both sides of the transaction. Nothing for you to do right now. Both solicitors are now engaged and will work through the conveyancing process. We'll keep you updated.",Y,You've instructed your solicitor — {address},"You've taken the first step. You've formally instructed your solicitor to act on your purchase. They'll now contact you with a welcome pack, their terms of business, and details of what they need from you to get started. Return your solicitor's welcome pack and complete your ID checks as quickly as possible — your solicitor cannot begin substantive work until these are in place. We'll update you when there's meaningful progress.",Y,Buyer's solicitor instructed — {address},"Quick update on {address}. The buyer has instructed their solicitor — confirmed via the buyer's portal. Conveyancing is now underway on the buyer's side. Both legal teams are now engaged.",Y,"Client confirmed: ""[milestone label]"" — {address}","Internal-only notification. Body: ""Your client has confirmed a milestone on their portal."" No personalised copy.",,,,,,,
PM2,Receive memorandum of sale,solicitor,Y,Buyer's solicitor has the memorandum — {address},"Quick update on your sale. The memorandum of sale has reached the buyer's solicitor. They now have formal confirmation to begin work on the purchase. Nothing for you to do right now — the buyer's side is now formally engaged.",Y,Memorandum of sale issued — {address},"The legal process has officially started. The memorandum of sale has been sent to all solicitors, confirming the agreed purchase price and the details of both parties. Your solicitor now has formal confirmation to begin conveyancing. If you haven't already, return your solicitor's welcome pack and complete your ID checks — your solicitor can't get fully started until these are done. If you're buying with a mortgage, also make sure your application is progressing.",N,,,Y,PM2 complete: MoS received — {address},Logged on {address}. Memorandum of sale confirmed received by buyer's solicitor.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
PM3,Complete ID & AML checks,you,Y,Buyer's ID checks complete — {address},"Good news on your sale. The buyer has completed their ID and anti-money laundering checks. Their solicitor can now begin substantive work on the purchase. Nothing for you to do right now — this is one of the early signals that things are moving properly on the buyer's side.",Y,ID checks complete — {address},"You've cleared an important legal requirement. Your identity has been verified and your solicitor has completed the anti-money laundering checks required by law. This allows them to begin substantive work on your purchase. Your solicitor is now able to work on your case fully. Worth flagging: if you haven't yet paid your money on account, do this as soon as possible — your solicitor will need it before they can order searches.",N,,(Agent not notified in client-portal-confirm flow),Y,"Client confirmed: ""[milestone label]"" — {address}","Internal-only notification. Body: ""Your client has confirmed a milestone on their portal."" No personalised copy.",,,,,,,
PM4,Pay money on account to solicitor,you,Y,Buyer has put funds with their solicitor — {address},"Strong signal on your sale. The buyer has transferred funds to their solicitor for searches and disbursements. This is one of the clearest 'this buyer is committed' signals in the early stages of a transaction. Searches will typically be ordered shortly — that's usually the next major step on the buyer's side.",Y,Payment on account received by your solicitor — {address},"Your solicitor has received your payment on account. Your initial payment to your solicitor has been received. This covers the cost of searches and other disbursements they'll incur on your behalf during the conveyancing process. This is separate from your deposit. Your solicitor can now order searches and proceed with the full conveyancing process. We'll update you as each stage progresses.",N,,(Agent not notified in client-portal-confirm flow),Y,"Client confirmed: ""[milestone label]"" — {address}","Internal-only notification. Body: ""Your client has confirmed a milestone on their portal."" No personalised copy.",,,,,,,
PM5,Submit mortgage application,you,Y,Buyer's mortgage application is in — {address},"Quick update on your sale. The buyer has submitted their mortgage application to their lender. The lender will now process the application — this typically includes a valuation visit to the property, which the buyer's surveyor or your agent will arrange directly. We'll let you know when the mortgage offer is issued.",Y,Mortgage application submitted — {address},"Your mortgage application is in. Your full mortgage application has been submitted to your lender. They'll now assess your application, arrange a valuation of the property, and work towards issuing a formal mortgage offer. Your lender will book a valuation of the property — usually within a week or two. Once the valuation is done, the formal mortgage offer typically follows within 1–3 weeks. Your broker or lender will keep you updated.",Y,Buyer's mortgage application submitted — {address},"Quick update on {address}. The buyer has submitted their mortgage application. The progression team will track the application through to offer.",Y,"Client confirmed: ""[milestone label]"" — {address}","Internal-only notification. Body: ""Your client has confirmed a milestone on their portal."" No personalised copy.",,,,,,,
PM6,Lender valuation booked,lender,Y,Buyer's lender valuation booked — {address},"Quick update on your sale. The buyer's lender has booked the property valuation. A surveyor acting for the lender will visit the property to value it. The buyer or their agent will coordinate access with you directly. Nothing else for you to do right now.",Y,Mortgage valuation booked — {address},"Your mortgage lender has booked their valuation. Your lender has arranged a valuation of the property. Their primary concern is that it's worth enough to secure their loan — it's not a structural survey and won't flag problems with the condition of the property. If you haven't already booked your own survey, now is a good time — a RICS HomeBuyer Report will identify issues the lender's valuation won't cover. Once the valuation is done, your mortgage offer should follow within 1–3 weeks.",Y,Buyer's lender valuation booked — {address},"Quick update on {address}. The buyer's lender has booked the property valuation. Surveyor will coordinate access directly with the seller. The progression team is tracking the lender's process.",Y,PM6 complete: Lender valuation booked — {address},Logged on {address}. Lender valuation confirmed booked.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
PM7,Draft contract pack received,solicitor,Y,Your contract pack has arrived with the buyer's solicitor — {address},"Progress on your sale. The contract pack has been received by the buyer's solicitor. They'll now review everything carefully and will raise any questions they have about the property or the documents. The buyer's solicitor will raise enquiries in due course. Your solicitor will handle these, though they may need your input on some points — we'll be in touch if so.",Y,Contract pack received by your solicitor — {address},"The legal documents are with your solicitor. Your solicitor has received the contract pack from the seller's solicitor. This is the bundle of documents that forms the legal foundation of the purchase — the draft contract, title documents, property information forms, and any relevant certificates. Your solicitor will now review everything carefully. Your solicitor will work through the contract pack and raise enquiries — questions about anything that needs clarification. In parallel, make sure your mortgage application and surveys are progressing.",Y,Contract pack received by buyer's solicitor — {address},Quick update on {address}. Buyer's solicitor has confirmed receipt of the contract pack.,Y,PM7 complete: Contract pack received — {address},Logged on {address}. Buyer's solicitor has confirmed receipt of draft contract pack.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
PM8,Searches ordered,solicitor,Y,Buyer has ordered the searches — {address},"Quick update on your sale. The buyer's solicitor has ordered the property searches — local authority, water and drainage, environmental, and any others relevant to the property. Searches typically come back within a couple of weeks. This is a clear signal the buyer is progressing in earnest. Nothing for you to do right now.",Y,Searches ordered on your purchase — {address},"Your solicitor has ordered the searches. Your solicitor has submitted the search applications to the local authority, water authority, and other relevant bodies. Searches check for things like planning permissions, flood risk, drainage rights, and other factors that could affect the property. Searches typically take 2–6 weeks to come back depending on the local authority — there's nothing for you to do while you wait. We'll let you know when they arrive.",Y,Buyer's searches ordered — {address},"Quick update on {address}. The buyer's solicitor has ordered the property searches. Strong commitment signal from the buyer. The progression team will chase results.",Y,PM8 complete: Searches ordered — {address},Logged on {address}. Buyer's solicitor has confirmed searches ordered.,[NOTE] Progressor confirms this milestone then also receives the progressor copy email (confirmation receipt).,,,,,,
PM9,Book your survey,you,Y,Buyer's survey is booked — {address},"Quick update on your sale. The buyer has booked their property survey. A surveyor will visit the property — the buyer or their agent will coordinate access with you directly. The survey itself doesn't take long; the report follows a few days later. Nothing else for you to do right now.",Y,Survey booked — {address},"Your survey is booked. Your independent survey has been booked. The surveyor will inspect the property and produce a report covering its condition, any issues they find, and recommendations. Most survey reports flag some issues — many are minor. When the report arrives, read it carefully and discuss any concerns with your solicitor. If anything significant is flagged, it may be worth seeking a specialist report or renegotiating the price.",Y,Buyer's survey booked — {address},Quick update on {address}. The buyer has booked their property survey. The progression team will track the report when it's back.,Y,"Client confirmed: ""[milestone label]"" — {address}","Internal-only notification. Body: ""Your client has confirmed a milestone on their portal."" No personalised copy.",,,,,,,
PM10,Survey report received,you,Y,Buyer has their survey report — {address},"Important update on your sale. The buyer has received their survey report. The survey is one of the bigger sources of risk in any transaction — once it's in the buyer's hands, the deal is materially closer to certain. The buyer may come back through their solicitor with questions or — occasionally — requests based on findings. We'll let you know if anything from the survey affects progression.",Y,Your survey report has arrived — {address},"Your survey report is ready. Your surveyor has delivered their report on the property. Most surveys flag some issues — it's rare to get a completely clean report, so don't be alarmed if yours highlights a few things. Read the report carefully and note anything rated as a significant risk or requiring urgent attention. If you have concerns, speak to your solicitor — they can advise on whether to seek a specialist report or request further information from the seller.",Y,Buyer has their survey report — {address},"Quick update on {address}. The buyer has received their survey report. One of the bigger fall-through risks is now passed. The progression team will flag if the survey raises any issues affecting progression.",Y,"Client confirmed: ""[milestone label]"" — {address}","Internal-only notification. Body: ""Your client has confirmed a milestone on their portal."" No personalised copy.",,,,,,,
